Location,Year,Value,rural pop,urban pop,electric_rural,electric_urban
NOR,1967,180212.25889755905,39.23,60.77,70697.2691655124,109514.98973204664
NOR,1968,180212.25889755905,37.66,62.34,67867.93670082073,112344.32219673833
NOR,1969,180212.25889755905,36.119,63.881,65090.865791209355,115121.3931063497
NOR,1970,180212.25889755905,34.604,65.396,62360.65006891134,117851.60882864772
NOR,1971,180212.25889755905,33.77,66.22999999999999,60857.6798297057,119354.57906785334
NOR,1972,180212.25889755905,33.275,66.725,59965.62914816277,120246.62974939626
NOR,1973,180212.25889755905,32.784,67.21600000000001,59080.78695697575,121131.4719405833
NOR,1974,76152.0,32.297,67.703,24594.811439999998,51557.18856
NOR,1975,76926.0,31.813,68.187,24472.46838,52453.53162
NOR,1976,81552.0,31.333,68.667,25552.68816,55999.31184
NOR,1977,71764.0,30.858,69.142,22144.935120000002,49619.06488
NOR,1978,80231.0,30.386,69.614,24378.991660000003,55852.00834000001
NOR,1979,88258.0,29.919,70.081,26405.91102,61852.08898
NOR,1980,83196.0,29.455,70.545,24505.3818,58690.618200000004
NOR,1981,92430.0,29.213,70.787,27001.5759,65428.42410000001
NOR,1982,92155.0,29.082,70.918,26800.5171,65354.4829
NOR,1983,105375.0,28.951,71.049,30507.11625,74867.88375000001
NOR,1984,105647.0,28.82,71.18,30447.4654,75199.53460000001
NOR,1985,102350.0,28.69,71.31,29364.215,72985.785
NOR,1986,96374.0,28.56,71.44,27524.414399999998,68849.58559999999
NOR,1987,103325.0,28.43,71.57,29375.2975,73949.70249999998
NOR,1988,109055.0,28.301,71.699,30863.65555,78191.34445
NOR,1989,118131.0,28.172,71.828,33279.865320000004,84851.13468
NOR,1990,120830.0,28.044,71.956,33885.565200000005,86944.4348
NOR,1991,110083.0,27.735,72.265,30531.52005,79551.47995000001
NOR,1992,116540.0,27.335,72.66499999999999,31856.209,84683.79099999998
NOR,1993,119261.0,26.939,73.061,32127.720790000003,87133.27921000001
NOR,1994,112604.0,26.547,73.453,29892.98388,82711.01612
NOR,1995,122607.0,26.213,73.787,32138.972910000004,90468.02709
NOR,1996,104386.0,25.938,74.062,27075.64068,77310.35931999999
NOR,1997,111052.0,25.524,74.476,28344.912480000003,82707.08752
NOR,1998,116063.0,24.973,75.027,28984.412989999997,87078.58701
NOR,1999,121753.0,24.431,75.569,29745.47543,92007.52457
NOR,2000,142317.0,23.98,76.02,34127.6166,108189.38339999999
NOR,2001,120970.0,23.622,76.378,28575.533399999997,92394.4666
NOR,2002,130103.0,23.267,76.733,30271.06501,99831.93499000001
NOR,2003,106784.0,22.916,77.084,24470.62144,82313.37856000001
NOR,2004,109848.0,22.601,77.399,24826.746479999998,85021.25352
NOR,2005,137374.0,22.325,77.675,30668.7455,106705.2545
NOR,2006,120995.0,22.05,77.95,26679.3975,94315.60250000001
